Page Name,User Name,Facebook Id,Likes at Posting,Created,Type,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Total Interactions,Total Interactions (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x )
Mundo Hispánico,mundohispanico,279933092023507,4576200,2020-09-13 13:00:44 EDT,Photo,2163,2849,192,285,32,76,2,38,22,,0,0,0,N/A,https://www.facebook.com/mundohispanico/posts/4262123337137776,"TODOS CONTRA TRUMP. Con tal de 'sacar' al presidente de la Casa Blanca, JOE BIDEN recibe inesperada ayuda: https://bit.ly/35BqNvZ:=:https://mundohispanico.com/bloomberg-ayuda-a-biden-a-ganar-florida/",https://www.facebook.com/mundohispanico/photos/a.283719258311557/4262069350476508/?type=3,https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2Fmundohispanico%2Fphotos%2Fa.283719258311557%2F4262069350476508%2F%3Ftype%3D3,UNITED to 3033 ADEN,,,,,"5,659","5,659"
El Nuevo Día,elnuevodia,5996048750,2248500,2020-09-30 09:50:41 EDT,Link,1049,1894,585,88,64,1838,8,113,3,,0,0,0,N/A,https://www.facebook.com/elnuevodia/posts/10158261956848751,"Opinión El Nuevo Día | Si es relecto como presidente de Estados Unidos, Trump seguirá luchando por el bienestar de Puerto Rico, afirma Luis Hernández.",https://www.elnuevodia.com/opinion/punto-de-vista/a-joe-biden-no-le-importan-los-puertorriquenos/?utm_term=Autofeed&utm_medium=Social&utm_source=Facebook#Echobox=1601471537,,,A Joe Biden no le importan los puertorriqueños,,,,"5,642","5,642"
Mundo Hispánico,mundohispanico,279933092023507,4591841,2020-10-07 21:31:18 EDT,Photo,1687,2667,154,261,24,237,2,19,13,,0,0,0,N/A,https://www.facebook.com/mundohispanico/posts/4345172658832843,"EN SU PROPIA CARA. A minutos de comenzar el DEBATE, Kamala Harris le dice sus 'VERDADES' a PENCE y lo deja sin habla 👉🏻 https://bit.ly/3jEus0o:=:https://mundohispanico.com/debate-harris-pence/",https://www.facebook.com/mundohispanico/photos/a.627444820605664/4345172352166207/?type=3,,MUNDO KISPANICO ÚLTIMA HORA,,,,,"5,064","5,064"
Mundo Hispánico,mundohispanico,279933092023507,4569864,2020-08-20 21:47:55 EDT,Photo,798,3166,155,34,53,227,8,248,6,,0,0,0,N/A,https://www.facebook.com/mundohispanico/posts/4181337428549701,,https://www.facebook.com/MarioGuevaraNews/photos/a.626937290707062/3316519278415503/?type=3,https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2FMarioGuevaraNews%2Fphotos%2Fa.626937290707062%2F3316519278415503%2F%3Ftype%3D3,ΜΗ ÚLTIMA HORA,Mario Guevara,"¡EN SU PROPIA CASA! A minutos de que BIDEN acepte la nominación demócrata, TRUMP le da GOLPE BAJO 👉🏻 https://bit.ly/3aHesH4:=:https://mundohispanico.com/trump-ataca-biden-pensilvania/",,,"4,695","4,695"
El Nuevo Día,elnuevodia,5996048750,2248324,2020-10-16 13:02:02 EDT,Link,2029,1397,183,404,22,427,8,78,25,,0,0,0,N/A,https://www.facebook.com/elnuevodia/posts/10158300437443751,Junto a Alex Rodríguez participó de un conversatorio con el candidato presidencial demócrata.,https://www.elnuevodia.com/corresponsalias/washington-dc/notas/jenniffer-lopez-endosa-oficialmente-a-joe-biden/?utm_medium=Social&utm_source=Facebook#Echobox=1602861838,,,Jenniffer López endosa oficialmente a Joe Biden,,,,"4,573","4,573"
El Nuevo Día,elnuevodia,5996048750,2247975,2020-09-26 00:38:23 EDT,Link,1351,1909,163,105,10,781,6,208,10,,0,0,0,N/A,https://www.facebook.com/elnuevodia/posts/10158252128338751,El astro boricua exhorta a votar por el candidato presidencial demócrata Joe Biden,https://www.elnuevodia.com/corresponsalias/washington-dc/notas/ricky-martin-afirma-que-la-administracion-de-trump-se-asemeja-cada-vez-mas-a-una-dictadura/?utm_medium=Social&utm_source=Facebook#Echobox=1601095097,,,Ricky Martin afirma que la administración de Trump se asemeja cada vez más a una dictadura,,,,"4,543","4,543"
Mundo Hispánico,mundohispanico,279933092023507,4587341,2020-09-28 12:38:10 EDT,Photo,1411,2086,115,187,24,80,2,27,7,,0,0,0,N/A,https://www.facebook.com/mundohispanico/posts/4312921762057933,"TODOS CONTRA TRUMP. Con tal de 'sacar' al presidente de la Casa Blanca, confirman inesperada ayuda para JOE BIDEN: https://bit.ly/2Ga5CqD:=:https://mundohispanico.com/bloomberg-campana-biden-florida-4-millones/",https://www.facebook.com/mundohispanico/photos/a.283719258311557/4312921575391285/?type=3,,,,,,,"3,939","3,939"
Mundo Hispánico,mundohispanico,279933092023507,4591886,2020-10-09 23:30:00 EDT,Photo,1384,1868,135,194,14,115,0,20,9,,0,0,0,N/A,https://www.facebook.com/mundohispanico/posts/4352277918122317,"""HABLO EN SERIO"". En plena batalla contra TRUMP por la presidencia, BIDEN sorprende con lo que dijo de los LATINOS: https://bit.ly/30TOVqG:=:https://mundohispanico.com/biden-latinos-futuro-estados-unidos/",https://www.facebook.com/mundohispanico/photos/a.283719258311557/4352276498122459/?type=3,,,,,,,"3,739","3,739"
Mundo Hispánico,mundohispanico,279933092023507,4593467,2020-10-22 21:57:31 EDT,Photo,487,2968,60,23,12,91,6,7,2,,0,0,0,N/A,https://www.facebook.com/mundohispanico/posts/4392240384126070,"""ESTAMOS MURIENDO"". En pleno debate PRESIDENCIAL Biden hace revelación a Trump 👉🏻 https://bit.ly/2FSv97F:=:https://mundohispanico.com/ultimo-debate-trump-biden/",https://www.facebook.com/mundohispanico/photos/a.627444820605664/4392240017459440/?type=3,,MUNDO HISP HISPANICO ÚLTIMA HORA,,,,,"3,656","3,656"
El Nuevo Día,elnuevodia,5996048750,2247993,2020-09-15 21:26:13 EDT,Link,1113,1179,353,200,21,522,3,49,13,,0,0,0,N/A,https://www.facebook.com/elnuevodia/posts/10158227754368751,"Reconoce la estadidad es la alternativa más efectiva para alcanzar igualdad en el gobierno federal, pero reafirmó que trabajará con representantes de “cada una de las alternativas de status”",https://www.elnuevodia.com/corresponsalias/washington-dc/notas/joe-biden-destaca-su-plan-para-puerto-rico-en-kissimmee-junto-a-ricky-martin-y-luis-fonsi/?utm_medium=Social&utm_source=Facebook#Echobox=1600219568,,,"Joe Biden destaca su plan para Puerto Rico en Kissimmee, junto a Ricky Martin y Luis Fonsi",,,,"3,453","3,453"
Mundo Hispánico,mundohispanico,279933092023507,4587858,2020-09-30 07:00:07 EDT,Photo,842,1974,97,38,23,197,4,17,0,,0,0,0,N/A,https://www.facebook.com/mundohispanico/posts/4318893994794043,ÚLTIMA HORA: EE.UU. amanece tras DEBATE FUERA DE CONTROL y sale a luz la frase de BIDEN que casi todos quieren gritarle a TRUMP: https://bit.ly/3jfoWAY:=:https://mundohispanico.com/debate-biden-calla-a-trump/,https://www.facebook.com/mundohispanico/photos/a.283719258311557/4318893818127394/?type=3,,,,,,,"3,192","3,192"
Mundo Hispánico,mundohispanico,279933092023507,4593068,2020-10-15 20:19:51 EDT,Photo,499,1942,126,58,30,274,4,20,3,,0,0,0,N/A,https://www.facebook.com/mundohispanico/posts/4370999219583520,"¿YA PERDIÓ? En plena campaña, Trump acepta lo impensable de Joe Biden 👉🏻 https://bit.ly/37e2rJw:=:https://mundohispanico.com/trump-teme-perder-elecciones/",https://www.facebook.com/mundohispanico/photos/a.627444820605664/4370999096250199/?type=3,,MUNDO HISPANICO ÚLTIMA HORA,,,,,"2,956","2,956"
El Nuevo Día,elnuevodia,5996048750,2247996,2020-09-11 07:16:29 EDT,Link,739,1525,103,124,3,385,3,14,8,,0,0,0,N/A,https://www.facebook.com/elnuevodia/posts/10158216339473751,"El grupo quiere llegar a demócratas, republicanos e independientes y recordarles las acciones de Donald Trump sobre la isla.",https://www.elnuevodia.com/corresponsalias/washington-dc/notas/boricuas-con-biden-se-organiza-para-movilizar-a-los-electores-puertorriquenos-en-estados-unidos/?utm_medium=Social&utm_source=Facebook#Echobox=1599821232,,,Boricuas con Biden se organizan para movilizar a los electores puertorriqueños en Estados Unidos,,,,"2,904","2,904"
Mundo Hispánico,mundohispanico,279933092023507,4592883,2020-10-20 11:59:19 EDT,Photo,276,2494,53,27,6,26,1,2,3,,0,0,0,N/A,https://www.facebook.com/mundohispanico/posts/4384952574854851,"¿TRUMP O BIDEN? A dos semanas de las elecciones, revelan quién lleva la delantera y quién GANARÍA si las presidenciales fuesen HOY https://bit.ly/35naxgC:=:https://mundohispanico.com/biden-amplia-su-ventaja-sobre-trump-en-estados-clave/",https://www.facebook.com/mundohispanico/photos/a.283719258311557/4384952351521540/?type=3,,UNITED to 3033,,,,,"2,888","2,888"
El Nuevo Día,elnuevodia,5996048750,2248559,2020-10-02 12:30:58 EDT,Link,552,702,679,7,174,611,18,42,4,,0,0,0,N/A,https://www.facebook.com/elnuevodia/posts/10158267039508751,"VÍDEO | Horas antes de anunciar su diagnóstico, el presidente rechazó el uso frecuente de mascarillas y se burló de Joe Biden por hacerlo.",https://www.elnuevodia.com/noticias/estados-unidos/videos/el-momento-que-se-ha-vuelto-viral-tras-el-contagio-de-trump-268297/?utm_medium=Social&utm_source=Facebook#Echobox=1601653840,,,El momento que se ha vuelto viral tras el contagio de Trump,,,,"2,789","2,789"
Mundo Hispánico,mundohispanico,279933092023507,4593208,2020-10-17 07:01:14 EDT,Photo,316,1952,61,26,14,382,4,12,3,,0,0,0,N/A,https://www.facebook.com/mundohispanico/posts/4375211222495653,"""NO ME VOY A SENTIR BIEN”. Trump sorprende al decir lo que haría si pierde ante Biden (VIDEO) https://bit.ly/37a5hzk:=:https://mundohispanico.com/trump-se-iria-de-ee-uu-si-pierde-ante-biden/",https://www.facebook.com/mundohispanico/photos/a.283719258311557/4375211045829004/?type=3,,,,,,,"2,770","2,770"
Mundo Hispánico,mundohispanico,279933092023507,4578963,2020-09-16 14:01:28 EDT,Photo,1183,1083,126,96,32,210,4,2,7,,0,0,0,N/A,https://www.facebook.com/mundohispanico/posts/4272557139427729,¡SORPRESIVO! Biden rompe silencio sobre INDOCUMENTADOS: revela los primeros que recibirán ‘PAPELES’ y quiénes serán DEPORTADOS: https://bit.ly/33DYMkM:=:https://mundohispanico.com/biden-inmigrantes-plan/,https://www.facebook.com/mundohispanico/photos/a.283719258311557/4272544982762278/?type=3,,ΜΗ ÚLTIMA HORA,,,,,"2,743","2,743"
Mundo Hispánico,mundohispanico,279933092023507,4591841,2020-10-08 11:01:38 EDT,Photo,387,1361,131,21,26,193,13,400,2,,0,0,0,N/A,https://www.facebook.com/mundohispanico/posts/4347265185290257,"“FUERA DE CONTEXTO”. Eduardo Verástegui ataca a BIDEN tras confirmar apoyo a TRUMP, pero no imaginó quién destaparía su MENTIRA: https://bit.ly/2GwkH6a:=:https://mundohispanico.com/eduardo-verastegui-foto-biden-fuera-de-contexto/",https://www.facebook.com/mundohispanico/photos/a.283719258311557/4347265011956941/?type=3,,,,,,,"2,534","2,534"
Mundo Hispánico,mundohispanico,279933092023507,4587858,2020-09-29 22:03:29 EDT,Photo,836,1203,119,22,66,164,3,9,3,,0,0,0,N/A,https://www.facebook.com/mundohispanico/posts/4317629934920449,¡DEBATE FUERA DE CONTROL! BIDEN le echa en cara a TRUMP los muertos por coronavirus y el presidente se ve obligado a decir la 'verdad' 👉🏻 https://bit.ly/3489TCN:=:https://mundohispanico.com/primer-debate-trump-biden/,https://www.facebook.com/mundohispanico/photos/a.627444820605664/4317629531587156/?type=3,,ÚLTIMA HORA www.mundohispanico.com,,,,,"2,425","2,425"
El Nuevo Día,elnuevodia,5996048750,2247952,2020-09-16 16:11:12 EDT,Link,749,981,144,142,11,294,3,37,6,,0,0,0,N/A,https://www.facebook.com/elnuevodia/posts/10158229683068751,Mira el mensaje que grabó el dramaturgo.,https://www.elnuevodia.com/entretenimiento/cultura/notas/lin-manuel-miranda-pide-el-voto-de-los-latinos-para-biden-y-harris/?utm_medium=Social&utm_source=Facebook#Echobox=1600284629,,,Lin-Manuel Miranda pide el voto de los latinos para Biden y Harris,,,,"2,367","2,367"
Mundo Hispánico,mundohispanico,279933092023507,4575995,2020-09-14 08:30:00 EDT,Photo,863,1201,51,95,9,54,1,10,8,,0,0,0,N/A,https://www.facebook.com/mundohispanico/posts/4264625506887559,"TODOS CONTRA TRUMP. Con tal de 'sacar' al presidente de la Casa Blanca, JOE BIDEN recibe inesperada ayuda https://bit.ly/35BqNvZ:=:https://mundohispanico.com/bloomberg-ayuda-a-biden-a-ganar-florida/",https://www.facebook.com/mundohispanico/photos/a.283719258311557/4264625070220936/?type=3,,,,,,,"2,292","2,292"
NTN24,NTN24,137499236261483,1836777,2020-09-26 21:00:43 EDT,Link,1296,366,244,147,14,175,3,12,7,,0,0,0,N/A,https://www.facebook.com/NTN24/posts/3774244632586907,"En su discurso, el presidente Donald Trump recordó que en 2015, Biden ""elogió"" al ""brutal dictador"" venezolano Nicolás Maduro, con quien se reunió ese año como vicepresidente",https://www.ntn24america.com/america-latina/venezuela/trump-llama-biden-titere-del-castrochavismo-en-acto-con-lideres-latinos,https://www.ntn24.com/america-latina/venezuela/trump-llama-biden-titere-del-castrochavismo-en-acto-con-lideres-latinos,,Trump llama a Biden “títere del castrochavismo” en acto con líderes latinos,"En su discurso, el presidente Donald Trump recordó que en 2015, Biden \""elogió\"" al \""brutal dictador\"" venezolano Nicolás Maduro, con quien se reunió ese año como vicepresidente",,,"2,264","2,264"
El Nuevo Día,elnuevodia,5996048750,2248187,2020-09-04 12:01:28 EDT,Link,729,853,117,140,7,250,2,14,9,,0,0,0,N/A,https://www.facebook.com/elnuevodia/posts/10158200585628751,El candidato demócrata cuenta con 68% de apoyo versus 28% del republicano.,https://www.elnuevodia.com/corresponsalias/washington-dc/notas/joe-biden-domina-ampliamente-a-donald-trump-en-la-intencion-de-voto-entre-los-puertorriquenos-en-florida/?utm_medium=Social&utm_source=Facebook#Echobox=1599234060,,,Joe Biden domina ampliamente a Trump en la intención de voto de los puertorriqueños en Florida,,,,"2,121","2,121"
Mundo Hispánico,mundohispanico,279933092023507,4592048,2020-10-13 10:12:16 EDT,Photo,575,1143,103,72,12,145,2,8,4,,0,0,0,N/A,https://www.facebook.com/mundohispanico/posts/4363704643646311,¡LE DAN LA ESPALDA! Trump recibe ‘golpe’ de quien menos esperaba en su propia ‘casa’ y Biden sonríe: https://bit.ly/3iSGDpa:=:https://mundohispanico.com/florida-vallas-contra-trump-instan-votar-por-biden/,https://www.facebook.com/mundohispanico/photos/a.283719258311557/4363704510312991/?type=3,,,,,,,"2,064","2,064"
Mundo Hispánico,mundohispanico,279933092023507,4587858,2020-09-29 21:08:10 EDT,Live Video Complete,368,1409,143,56,13,26,1,35,4,original,55514,58133,0,01:31:48,https://www.facebook.com/mundohispanico/posts/396190554714245,"EN VIVO: Sigue EN DIRECTO el primer DEBATE de las Elecciones presidenciales 2020. Joe Biden y el actual mandatario, Donald Trump, estarán FRENTE A FRENTE",https://www.facebook.com/mundohispanico/videos/396190554714245/,,,EN VIVO: Sigue EN DIRECTO el primer DEBATE de las Elecciones presidenciales 2020.,,,,"2,055","2,055"
NTN24,NTN24,137499236261483,1837338,2020-08-21 13:30:00 EDT,Photo,1139,404,150,95,19,179,2,14,6,,0,0,0,N/A,https://www.facebook.com/NTN24/posts/3656146297730075,"Trump agitó la bandera del miedo y advirtió a los participantes que si querían imaginarse cómo sería un gobierno de Biden recordaran ""las ruinas en llamas de Minneapolis, la anarquía de Portland y las aceras con sangre en Chicago"" https://bit.ly/34hSOIp:=:https://www.ntn24.com/internacional/estados-unidos/trump-los-estadounidenses-biden-seria-su-peor-pesadilla-125150",https://www.facebook.com/NTN24/photos/a.513138065364263/3656145304396841/?type=3,,"""Biden sería su peor pesadilla"" Donald Trump presidente de EE. UU. NTN24 NUESTRA Eu NOTICIAS 0த f圖/NTN24",,,,,"2,008","2,008"
NTN24,NTN24,137499236261483,1837308,2020-08-22 08:18:33 EDT,Link,422,579,279,18,47,191,32,404,2,,0,0,0,N/A,https://www.facebook.com/NTN24/posts/3658809604130411,"La política de Estados Unidos hacia Venezuela cambiará si el demócrata Joe Biden desaloja al republicano Donald Trump de la Casa Blanca en noviembre, señalaron expertos",https://bit.ly/3hlAZf5,https://www.ntn24.com/america-latina/venezuela/expertos-aseguran-que-biden-cambiara-la-politica-de-ee-uu-hacia-venezuela,,Expertos aseguran que Biden cambiará la política de EE. UU. hacia Venezuela,"Biden \""rechaza el enfoque fallido de la administración Trump de sanciones unilaterales en lugar de un enfoque de política multilateral integral para Venezuela\"", dijo Juan González",,,"1,974","1,974"
El Nuevo Día,elnuevodia,5996048750,2247942,2020-09-27 12:50:50 EDT,Link,328,769,95,36,33,547,2,91,4,,0,0,0,N/A,https://www.facebook.com/elnuevodia/posts/10158255448328751,El presidente estadounidense cuestionó el desempeño del candidato demócrata en los pasados debates electorales.,https://www.elnuevodia.com/noticias/estados-unidos/notas/trump-pide-a-biden-que-se-someta-a-una-prueba-de-dopaje-antes-del-debate-del-martes/?utm_medium=Social&utm_source=Facebook#Echobox=1601225275,,,Trump pide a Biden que se someta a una prueba de dopaje antes del debate del martes,,,,"1,905","1,905"
El Nuevo Día,elnuevodia,5996048750,2248131,2020-08-19 22:23:05 EDT,Link,631,461,145,48,8,472,0,9,12,,0,0,0,N/A,https://www.facebook.com/elnuevodia/posts/10158155016118751,El candidato demócrata a la presidencia reaccionó a las expresiones de un ex alto funcionario del gobierno de Donald Trump,https://www.elnuevodia.com/corresponsalias/washington-dc/notas/joe-biden-dice-que-trump-le-dio-la-espalda-a-puerto-rico-y-que-el-nunca-lo-hara/?utm_medium=Social&utm_source=Facebook#Echobox=1597890179,,,Joe Biden dice que Trump le dio la espalda a Puerto Rico y que él nunca lo hará,,,,"1,786","1,786"
NTN24,NTN24,137499236261483,1836438,2020-10-16 21:00:01 EDT,Photo,403,541,23,36,17,386,9,332,2,,0,0,0,N/A,https://www.facebook.com/NTN24/posts/3837297152948321,JLo y ARod manifiestan su apoyo al candidato demócrata Joe Biden https://bit.ly/3m77Fez:=:https://www.ntn24.com/tendencias/jlo-y-arod-manifiestan-su-apoyo-al-candidato-democrata-joe-biden-126934,https://www.facebook.com/NTN24/photos/a.513138065364263/3837296932948343/?type=3,,"JLO Y AROD QUIEREN A BIDEN EN LA PRESIDENCIA ""Quiero que nos unamos como equipo para derrotar el covid yreconstruir la economía' Alex Rodríguez NTN24 LENOTICIAS NUESTRA /NTN24",,,,,"1,749","1,749"
El Nuevo Día,elnuevodia,5996048750,2248357,2020-09-29 15:31:12 EDT,Link,462,747,197,26,50,203,0,8,2,,0,0,0,N/A,https://www.facebook.com/elnuevodia/posts/10158260327238751,"Biden y su esposa pagaron $300,000 en impuestos federales en el 2019, contrario a los $750 que pagó Donald J. Trump en el 2016.",https://www.elnuevodia.com/noticias/estados-unidos/notas/joe-biden-publica-su-declaracion-de-impuestos-antes-del-primer-debate-con-donald-trump/?utm_medium=Social&utm_source=Facebook#Echobox=1601406046,,,Joe Biden publica su declaración de impuestos antes del primer debate con Donald Trump,,,,"1,695","1,695"
Univision,univision,259955926518,5926977,2020-09-24 04:00:31 EDT,Link,416,735,63,53,22,178,2,203,3,,0,0,0,N/A,https://www.facebook.com/univision/posts/10158309601576519,Eduardo Verastegui detalla por qué no concuerda con las ideas del candidato del partido demócrata.,https://www.univision.com/shows/el-gordo-y-la-flaca/mis-manos-estarian-llenas-de-sangre-inocente-eduardo-verastegui-explica-por-que-no-apoya-a-biden-y-si-a-trump-video?utm_campaign=Univision&utm_medium=social&utm_source=facebook,,,"""Mis manos estarían llenas de sangre inocente"": Eduardo Verástegui explica por qué no apoya a Biden y sí a Trump","El mexicano, quien estrena puesto dentro de la Casa Blanca, fue cuestionado por Lili Estefan sobre la posibilidad de que Joe Biden sea presidente de Estados Unidos y cómo lo afectaría en su nuevo cargo. El exactor reiteró su compromiso por seguir trabajando por el beneficio de los hispanos en est...",,,"1,675","1,675"
El Nuevo Día,elnuevodia,5996048750,2248262,2020-10-13 18:53:01 EDT,Link,622,439,119,93,1,386,1,7,6,,0,0,0,N/A,https://www.facebook.com/elnuevodia/posts/10158294692663751,"ENTREVISTA EXCLUSIVA | Joe Biden promete liberar los fondos federales asignados tras los huracanes, la auditoría de la deuda y la cancelación de aquella que se determina ilegítima.",https://www.elnuevodia.com/noticias/politica/notas/entrevista-exclusiva-joe-biden-promete-luchar-por-la-igualdad-de-los-derechos-de-todos-los-puertorriquenos/?utm_medium=Social&utm_source=Facebook#Echobox=1602629576,,,Joe Biden promete luchar por la igualdad de los derechos de todos los puertorriqueños,,,,"1,674","1,674"
El Nuevo Día,elnuevodia,5996048750,2248069,2020-09-20 11:00:45 EDT,Link,632,506,132,50,13,291,1,16,6,,0,0,0,N/A,https://www.facebook.com/elnuevodia/posts/10158238845533751,"OPINIÓN | Joe Biden y yo tenemos un plan que no solo ayudará a Puerto Rico a recuperarse, sino que ayudará a las familias a prosperar, escribe Kamala Harris.",https://www.elnuevodia.com/opinion/punto-de-vista/honrando-a-puerto-rico-tres-anos-despues-del-huracan-maria/?utm_medium=Social&utm_source=Facebook#Echobox=1600609541,,,Honrando a Puerto Rico tres años después del huracán María,,,,"1,647","1,647"
Univision,univision,259955926518,5924328,2020-09-16 21:21:01 EDT,Link,843,344,27,133,5,129,0,24,11,,0,0,0,N/A,https://www.facebook.com/univision/posts/10158291188891519,El cantante Luis Fonsi expresó las razones para estar a favor del ex vicepresidente Joe Biden,https://www.univision.com/shows/despierta-america/un-presidente-que-nos-trate-con-dignidad-el-apoyo-que-expreso-luis-fonsi-a-joe-biden-video?utm_campaign=Univision&utm_medium=social&utm_source=facebook,,,“Un presidente que nos trate con dignidad”: el apoyo que expresó Luis Fonsi a Joe Biden,"El candidato demócrata a la presidencia estuvo en Florida para buscar el apoyo de la comunidad latina, que resulta fundamental en las próximas elecciones. Allí, recibió el apoyo del cantante Luis Fonsi, quien luego expresó las razones para estar a favor del ex vicepresidente.",,,"1,516","1,516"
El Nuevo Día,elnuevodia,5996048750,2248559,2020-10-02 12:32:32 EDT,Link,1032,162,101,172,6,28,1,0,9,,0,0,0,N/A,https://www.facebook.com/elnuevodia/posts/10158267042633751,Así lo confirmó su doctor.,https://www.elnuevodia.com/noticias/estados-unidos/notas/joe-biden-arroja-negativo-a-la-prueba-de-covid-19/?utm_medium=Social&utm_source=Facebook#Echobox=1601656348,https://www.elnuevodia.com/noticias/estados-unidos/notas/joe-biden-y-su-esposa-arrojan-negativo-a-la-prueba-de-covid-19/,,Joe Biden arroja negativo a la prueba de COVID-19,,,,"1,511","1,511"
El Nuevo Día,elnuevodia,5996048750,2248262,2020-10-13 19:20:52 EDT,Photo,379,663,92,46,4,297,1,4,3,,0,0,0,N/A,https://www.facebook.com/elnuevodia/posts/10158294729193751,En entrevista exclusiva con El Nuevo Día Joe Biden promete luchar por la igualdad de los derechos de todos los puertorriqueños. Mira lo que dijo el candidato presidencial por el partido Demócrata aquí: https://bit.ly/2GTJyAM:=:https://www.elnuevodia.com/noticias/politica/notas/entrevista-exclusiva-joe-biden-promete-luchar-por-la-igualdad-de-los-derechos-de-todos-los-puertorriquenos/,https://www.facebook.com/elnuevodia/photos/a.376657543750/10158294729193751/?type=3,,"ENTREVISTA EXCLUSIVA ELNUEVO Mi plan va a crear miles de empleos bien remunerados en la isla, de manera que muchos trabajadores diestros no sientan que tienen que marcharse. Usted no tendría que irse para lograr el tipo de vida que usted desea. JOE BIDEN CANDIDATO DEMÓCRATAALA PRESIDENCIA DE ESTADOS UNIDOS",Timeline Photos,,,,"1,489","1,489"
Mundo Hispánico,mundohispanico,279933092023507,4569896,2020-08-19 14:06:23 EDT,Photo,512,786,51,47,4,42,2,2,2,,0,0,0,N/A,https://www.facebook.com/mundohispanico/posts/4176928812323896,"SORPRESIVO. Tras conocerse que poderosos republicanos apoyan a Biden, encuesta da a conocer primera consecuencia: https://bit.ly/31bLsEr:=:https://mundohispanico.com/encuesta-biden-trump-lidera-6-puntos-nacional/",https://www.facebook.com/mundohispanico/photos/a.283719258311557/4176928425657268/?type=3,,UNITED to 3033 ADEN,,,,,"1,448","1,448"
Mundo Hispánico,mundohispanico,279933092023507,4590482,2020-10-06 10:02:00 EDT,Photo,710,520,64,66,12,48,3,4,5,,0,0,0,N/A,https://www.facebook.com/mundohispanico/posts/4339925206024255,DONDE MÁS LE DUELE. Biden asegura BENEFICIO PARA INMIGRANTES que Trump tanto quiere ELIMINAR https://bit.ly/3lj9R21:=:https://mundohispanico.com/florida-biden-garantizar-tps/,https://www.facebook.com/mundohispanico/photos/a.283719258311557/4339924889357620/?type=3,,,,,,,"1,432","1,432"
El Nuevo Día,elnuevodia,5996048750,2248500,2020-09-29 22:57:35 EDT,Link,249,795,150,3,12,113,4,44,2,,0,0,0,N/A,https://www.facebook.com/elnuevodia/posts/10158261158308751,Interrupciones constantes y poco control dominaron el encuentro entre los candidatos,https://www.elnuevodia.com/corresponsalias/washington-dc/notas/caotico-primer-debate-presidencial-entre-joe-biden-y-donald-trump/?utm_medium=Social&utm_source=Facebook#Echobox=1601434655,,,Caótico primer debate presidencial entre Joe Biden y Donald Trump,,,,"1,372","1,372"
El Nuevo Día,elnuevodia,5996048750,2248053,2020-09-20 21:55:47 EDT,Link,436,514,55,88,5,247,1,13,4,,0,0,0,N/A,https://www.facebook.com/elnuevodia/posts/10158240541133751,El estudio de WallStreetJournal/NBC/Telemundo fue hecho entre 300 electores a nivel de Estados Unidos,https://www.elnuevodia.com/corresponsalias/washington-dc/notas/joe-biden-aventaja-a-donald-trump-entre-los-electores-hispanos-62-a-26-segun-encuesta/?utm_medium=Social&utm_source=Facebook#Echobox=1600646735,,,"Joe Biden aventaja a Donald Trump entre los electores hispanos 62% a 26%, según encuesta",,,,"1,363","1,363"
El Nuevo Herald,elnuevoherald,126339201288,392923,2020-08-28 17:57:38 EDT,Link,546,358,198,104,21,85,5,18,8,,0,0,0,N/A,https://www.facebook.com/elnuevoherald/posts/10158921038691289,"El 66% de los venezolanoamericanos de Florida votaría por la reelección del presidente Donald Trump frente al 34% que sufragaría por el candidato demócrata Joe Biden, según una encuesta divulgada este viernes.",https://trib.al/kAMSQL8,https://www.elnuevoherald.com/noticias/sur-de-la-florida/article245333980.html,,"La mayoría de los venezolanoamericanos de Florida votarían por Trump, según encuesta",,,,"1,343","1,343"
El Nuevo Día,elnuevodia,5996048750,2248060,2020-09-06 20:41:39 EDT,Link,527,432,102,36,6,213,3,7,3,,0,0,0,N/A,https://www.facebook.com/elnuevodia/posts/10158206407518751,Criticó la decisión del gobierno de Trump de acudir al Tribunal Supremo de Estados Unidos para revertir la decisión del Primer Circuito.,https://www.elnuevodia.com/corresponsalias/washington-dc/notas/joe-biden-se-compromete-a-defender-la-vigencia-del-ssi-en-puerto-rico/?utm_medium=Social&utm_source=Facebook#Echobox=1599439468,,,Joe Biden se compromete a defender la vigencia del SSI en Puerto Rico,,,,"1,329","1,329"
Mundo Hispánico,mundohispanico,279933092023507,4592794,2020-10-18 14:36:18 EDT,Photo,273,946,26,15,9,27,2,5,4,,0,0,0,N/A,https://www.facebook.com/mundohispanico/posts/4379262192090556,"""NO PODEMOS SUBESTIMAR"". Pese a aires de victoria, Biden envía sorpresivo mensaje revelando lo que ""pasaría hasta el final"": https://bit.ly/31ijztX:=:https://mundohispanico.com/trump-puede-ganar-elecciones-segun-campana-biden/",https://www.facebook.com/mundohispanico/photos/a.283719258311557/4379255678757874/?type=3,,UNITED to 3033 ADEN,,,,,"1,307","1,307"
